date,price
18/09/2022,19419.50586
19/09/2022,19544.12891
20/09/2022,18890.78906
21/09/2022,18547.40039
22/09/2022,19413.55078
23/09/2022,19297.63867
24/09/2022,18937.01172
25/09/2022,18802.09766
26/09/2022,19222.67188
27/09/2022,19110.54688
28/09/2022,19426.7207
29/09/2022,19573.05078
30/09/2022,19431.78906
01/10/2022,19312.0957
02/10/2022,19044.10742
03/10/2022,19623.58008
04/10/2022,20336.84375
05/10/2022,20160.7168
06/10/2022,19955.44336
07/10/2022,19546.84961
08/10/2022,19416.56836
09/10/2022,19446.42578
10/10/2022,19141.48438
11/10/2022,19051.41797
12/10/2022,19157.44531
13/10/2022,19382.9043
14/10/2022,19185.65625
15/10/2022,19067.63477
16/10/2022,19268.09375
17/10/2022,19550.75781
18/10/2022,19334.41602
19/10/2022,19139.53516
20/10/2022,19053.74023
21/10/2022,19172.46875
22/10/2022,19208.18945
23/10/2022,19567.00781
24/10/2022,19345.57227
25/10/2022,20095.85742
26/10/2022,20770.44141
27/10/2022,20285.83594
28/10/2022,20595.35156
29/10/2022,20818.47656
30/10/2022,20635.60352
31/10/2022,20495.77344
01/11/2022,20485.27344
02/11/2022,20159.50391
03/11/2022,20209.98828
04/11/2022,21147.23047
05/11/2022,21282.69141
06/11/2022,20926.48633
07/11/2022,20602.81641
08/11/2022,18541.27148
09/11/2022,15880.78027
10/11/2022,17586.77148
11/11/2022,17034.29297
12/11/2022,16799.18555
13/11/2022,16353.36523
14/11/2022,16618.19922
15/11/2022,16884.61328
16/11/2022,16669.43945
17/11/2022,16687.51758
18/11/2022,16697.77734
19/11/2022,16711.54688
20/11/2022,16291.83203
21/11/2022,15787.28418
22/11/2022,16189.76953
23/11/2022,16610.70703
24/11/2022,16604.46484
25/11/2022,16521.8418
26/11/2022,16464.28125
27/11/2022,16444.62695
28/11/2022,16217.32227
29/11/2022,16444.98242
30/11/2022,17168.56641
01/12/2022,16967.13281
02/12/2022,17088.66016
03/12/2022,16908.23633
04/12/2022,17130.48633
05/12/2022,16974.82617
06/12/2022,17089.50391
07/12/2022,16848.12695
08/12/2022,17233.47461
09/12/2022,17133.15234
10/12/2022,17128.72461
11/12/2022,17104.19336
12/12/2022,17206.4375
13/12/2022,17781.31836
14/12/2022,17815.65039
15/12/2022,17364.86523
16/12/2022,16647.48438
17/12/2022,16795.0918
18/12/2022,16757.97656
19/12/2022,16439.67969
20/12/2022,16906.30469
21/12/2022,16817.53516
22/12/2022,16830.3418
23/12/2022,16796.95313
24/12/2022,16847.75586
25/12/2022,16841.98633
26/12/2022,16919.80469
27/12/2022,16717.17383
28/12/2022,16552.57227
29/12/2022,16642.3418
30/12/2022,16602.58594
31/12/2022,16547.49609
01/01/2023,16625.08008
02/01/2023,16688.4707
03/01/2023,16679.85742
04/01/2023,16863.23828
05/01/2023,16836.73633
06/01/2023,16951.96875
07/01/2023,16955.07813
08/01/2023,17091.14453
09/01/2023,17196.55469
10/01/2023,17446.29297
11/01/2023,17934.89648
12/01/2023,18869.58789
13/01/2023,19909.57422
14/01/2023,20976.29883
15/01/2023,20880.79883
16/01/2023,21169.63281
17/01/2023,21161.51953
18/01/2023,20688.78125
19/01/2023,21086.79297
20/01/2023,22676.55273
21/01/2023,22777.625
22/01/2023,22720.41602
23/01/2023,22934.43164
24/01/2023,22636.46875
25/01/2023,23117.85938
26/01/2023,23032.77734
27/01/2023,23078.72852
28/01/2023,23031.08984
29/01/2023,23774.56641
30/01/2023,22840.13867
31/01/2023,23139.2832
01/02/2023,23723.76953
02/02/2023,23471.87109
03/02/2023,23449.32227
04/02/2023,23331.84766
05/02/2023,22955.66602
06/02/2023,22760.10938
07/02/2023,23264.29102
08/02/2023,22939.39844
09/02/2023,21819.03906
10/02/2023,21651.18359
11/02/2023,21870.875
12/02/2023,21788.20313
13/02/2023,21808.10156
14/02/2023,22220.80469
15/02/2023,22789.54102
